F S   UID    PID   PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S  1000   2649      1  0  80   0 - 19272 ep_pol ?        00:00:00 systemd
5 S  1000   2650   2649  0  80   0 - 28042 -      ?        00:00:00 (sd-pam)
1 S  1000   2663      1  0  80   0 - 126741 -     ?        00:00:00 gnome-keyring-d
4 S  1000   2679   2636  0  80   0 - 51581 poll_s tty2     00:00:00 gdm-x-session
0 S  1000   2685   2649  0  80   0 - 12814 ep_pol ?        00:00:03 dbus-daemon
0 S  1000   2692   2679  0  80   0 - 140508 poll_s tty2    00:00:00 gnome-session-b
1 S  1000   2716      1  0  80   0 - 70738 poll_s ?        00:00:28 fcitx
1 S  1000   2730      1  0  80   0 - 12618 ep_pol ?        00:00:15 dbus-daemon
1 S  1000   2737      1  0  99  19 -  6901 poll_s ?        00:00:00 fcitx-dbus-watc
1 S  1000   2791   2692  0  80   0 -  2829 -      ?        00:00:00 ssh-agent
0 S  1000   2793   2649  0  80   0 - 87339 poll_s ?        00:00:00 at-spi-bus-laun
0 S  1000   2798   2793  0  80   0 - 12516 ep_pol ?        00:00:01 dbus-daemon
0 S  1000   2801   2649  0  80   0 - 55199 poll_s ?        00:00:06 at-spi2-registr
0 S  1000   2807   2649  0  80   0 - 71541 poll_s ?        00:00:00 gvfsd
0 S  1000   2812   2649  0  80   0 - 104030 futex_ ?       00:00:00 gvfsd-fuse
0 S  1000   2840   2692  2  80   0 - 1262650 poll_s tty2   01:15:27 gnome-shell
1 S  1000   2849      1  0  69 -11 - 538984 poll_s ?       00:05:54 pulseaudio
0 S  1000   2902   2840  0  80   0 - 88888 poll_s tty2     00:00:00 ibus-daemon
0 S  1000   2906   2902  0  80   0 - 68739 poll_s tty2     00:00:00 ibus-dconf
0 S  1000   2908      1  0  80   0 - 84540 poll_s tty2     00:00:00 ibus-x11
0 S  1000   2910   2649  0  80   0 - 68220 poll_s ?        00:00:00 ibus-portal
0 S  1000   2920   2649  0  80   0 - 66438 poll_s ?        00:00:00 xdg-permission-
0 S  1000   2925   2649  0  80   0 - 172586 poll_s ?       00:00:00 gnome-shell-cal
0 S  1000   2929   2649  0  80   0 - 341696 poll_s ?       00:00:00 evolution-sourc
0 S  1000   2937   2649  0  80   0 - 196396 poll_s ?       00:00:00 goa-daemon
0 S  1000   2947   2649  0  80   0 - 74388 poll_s ?        00:00:01 goa-identity-se
0 S  1000   2967   2649  0  80   0 - 163286 poll_s ?       00:00:04 gvfs-udisks2-vo
0 S  1000   2977   2649  0  80   0 - 67059 poll_s ?        00:00:00 gvfs-goa-volume
0 S  1000   2981   2649  0  80   0 - 67547 poll_s ?        00:00:00 gvfs-mtp-volume
0 S  1000   2985   2649  0  80   0 - 93255 poll_s ?        00:00:00 gvfs-afc-volume
0 S  1000   2990   2649  0  80   0 - 70745 poll_s ?        00:00:00 gvfs-gphoto2-vo
0 S  1000   2996   2692  0  80   0 - 127822 poll_s tty2    00:00:00 gsd-power
0 S  1000   2997   2692  0  80   0 - 85887 poll_s tty2     00:00:00 gsd-print-notif
0 S  1000   2999   2692  0  80   0 - 104384 poll_s tty2    00:00:00 gsd-rfkill
0 S  1000   3000   2692  0  80   0 - 67481 poll_s tty2     00:00:00 gsd-screensaver
0 S  1000   3001   2692  0  80   0 - 111774 poll_s tty2    00:00:00 gsd-sharing
0 S  1000   3004   2692  0  80   0 - 82305 poll_s tty2     00:00:00 gsd-sound
0 S  1000   3008   2692  0  80   0 - 122588 poll_s tty2    00:00:00 gsd-xsettings
0 S  1000   3014   2692  0  80   0 - 93080 poll_s tty2     00:00:00 gsd-smartcard
0 S  1000   3018   2692  0  80   0 - 105619 poll_s tty2    00:00:00 gsd-wacom
0 S  1000   3028   2692  0  80   0 - 84444 poll_s tty2     00:00:00 gsd-clipboard
0 S  1000   3029   2692  0  80   0 - 68100 poll_s tty2     00:00:00 gsd-a11y-settin
0 S  1000   3032   2692  0  80   0 - 116088 poll_s tty2    00:00:00 gsd-datetime
0 S  1000   3035   2692  0  80   0 - 147113 poll_s tty2    00:00:27 gsd-color
0 S  1000   3036   2692  0  80   0 - 125206 poll_s tty2    00:00:00 gsd-keyboard
0 S  1000   3037   2692  0  80   0 - 89693 poll_s tty2     00:00:10 gsd-housekeepin
0 S  1000   3038   2692  0  80   0 - 68101 poll_s tty2     00:00:00 gsd-mouse
0 S  1000   3039   2692  0  80   0 - 234172 poll_s tty2    00:00:00 gsd-media-keys
0 S  1000   3089      1  0  80   0 - 125743 poll_s tty2    00:00:00 gsd-printer
0 S  1000   3108   2692  0  80   0 - 67985 poll_s tty2     00:00:00 gsd-disk-utilit
0 S  1000   3117   2692  0  80   0 - 91874 poll_s tty2     00:00:00 indicator-messa
0 S  1000   3119   2692  0  80   0 - 236768 poll_s tty2    00:00:02 nautilus-deskto
0 S  1000   3140   2807  0  80   0 - 90630 poll_s ?        00:00:00 gvfsd-trash
0 S  1000   3146   2649  0  80   0 - 221818 poll_s ?       00:00:00 evolution-calen
0 S  1000   3171   3146  0  80   0 - 282749 poll_s ?       00:00:00 evolution-calen
0 S  1000   3173   2902  0  80   0 - 49770 poll_s tty2     00:00:00 ibus-engine-sim
0 S  1000   3185   2649  0  80   0 - 47044 poll_s ?        00:00:00 dconf-service
0 S  1000   3188   2649  0  80   0 - 181830 poll_s ?       00:00:00 evolution-addre
0 S  1000   3200   3188  0  80   0 - 252943 poll_s ?       00:00:00 evolution-addre
0 S  1000   3225   2649  0  80   0 - 165361 poll_s ?       00:14:16 gnome-terminal-
0 S  1000   3232   3225  0  80   0 -  6066 wait   pts/0    00:00:00 bash
0 S  1000   3270   2663  0  80   0 -  2829 -      ?        00:00:00 ssh-agent
1 S  1000   3275   2649  0  80   0 - 97055 futex_ ?        00:00:00 sshfs
0 S  1000   3313   2649  0  80   0 - 52650 poll_s ?        00:00:02 gvfsd-metadata
0 S  1000   3326   2692  0  80   0 - 413631 reques tty2    00:00:06 zeitgeist-datah
0 S  1000   3334   2649  0  80   0 - 106921 poll_s ?       00:00:00 zeitgeist-daemo
0 S  1000   3342   2649  0  80   0 - 81745 poll_s ?        00:00:00 zeitgeist-fts
0 S  1000   3400   3232  0  80   0 -  1160 wait   pts/0    00:00:00 pycharm.sh
0 S  1000   3442   3400  2  80   0 - 3071416 futex_ pts/0  01:21:22 java
0 S  1000   3512   3442  0  80   0 -  1476 poll_s pts/0    00:00:04 fsnotifier64
0 S  1000   3816   2692  0  80   0 - 335733 poll_s tty2    00:00:12 gnome-software
0 S  1000   3819   2692  0  80   0 - 179163 poll_s tty2    00:00:02 update-notifier
0 S  1000   4043   2807  0  80   0 - 109591 poll_s ?       00:00:00 gvfsd-network
0 S  1000   4070   2807  0  80   0 - 93871 poll_s ?        00:00:00 gvfsd-dnssd
0 S  1000   4102   2692  0  80   0 - 199732 poll_s tty2    00:00:00 deja-dup-monito
0 S  1000   4234   3225  0  80   0 -  8250 wait   pts/1    00:00:00 bash
1 S  1000   4260   2649  0  80   0 -  8322 poll_s ?        00:02:05 screen
0 S  1000   4261   4260  0  80   0 -  6084 wait   pts/2    00:00:00 bash
4 S  1000   5809      1  0  80   0 - 4606475 poll_s tty2   00:27:51 chrome
0 S  1000   5815   5809  0  80   0 -  2227 pipe_w tty2     00:00:00 cat
0 S  1000   5816   5809  0  80   0 -  2227 pipe_w tty2     00:00:00 cat
0 S  1000   5818      1  0  80   0 - 4202321 ep_pol ?      00:00:00 chrome_crashpad
0 S  1000   5820      1  0  80   0 - 4200268 ep_pol ?      00:00:00 chrome_crashpad
0 S  1000   5826   5809  0  80   0 - 4298495 poll_s tty2   00:00:00 chrome
4 S  1000   5827   5809  0  80   0 - 4298493 wait tty2     00:00:00 chrome
4 S  1000   5828   5827  0  80   0 - 4206520 skb_wa tty2   00:00:00 nacl_helper
5 S  1000   5831   5827  0  80   0 - 4298499 poll_s tty2   00:00:04 chrome
0 S  1000   5848   2649  0  80   0 - 147798 poll_s ?       00:00:00 xdg-desktop-por
1 S  1000   5852   5826  1  80   0 - 4536146 poll_s tty2   00:36:34 chrome
0 S  1000   5856   5809  0  80   0 - 4325624 futex_ tty2   00:10:57 chrome
0 S  1000   5857   2649  0  80   0 - 106012 poll_s ?       00:00:00 xdg-document-po
0 S  1000   5877   2649  0  80   0 - 139314 poll_s ?       00:00:00 xdg-desktop-por
1 S  1000   5883   5852  0  80   0 - 4319209 skb_wa tty2   00:00:00 chrome
1 S  1000   5884   5831  0  80   0 - 4310893 futex_ tty2   00:00:14 chrome
1 S  1000   5986   5831  0  80   0 - 290626078 futex_ tty2 00:00:09 chrome
1 S  1000   6000   5831  0  80   0 - 290624029 futex_ tty2 00:00:01 chrome
1 S  1000   6006   5831  0  80   0 - 290626880 futex_ tty2 00:00:24 chrome
1 S  1000   6026   5831  0  80   0 - 290626594 futex_ tty2 00:03:54 chrome
1 S  1000   6032   5831  0  80   0 - 290624029 futex_ tty2 00:00:01 chrome
1 S  1000   6045   5831  0  80   0 - 290624029 futex_ tty2 00:00:01 chrome
1 S  1000   6065   5831  0  80   0 - 290624200 futex_ tty2 00:00:01 chrome
1 S  1000   6071   5831  0  80   0 - 290624029 futex_ tty2 00:00:01 chrome
1 S  1000   6205   5831  0  80   0 - 290629543 futex_ tty2 00:00:13 chrome
1 S  1000   6224   5831  0  80   0 - 291681781 futex_ tty2 00:00:05 chrome
1 S  1000   6225   5831  0  80   0 - 290627700 futex_ tty2 00:00:24 chrome
1 S  1000   6276   5831  0  80   0 - 290627492 futex_ tty2 00:00:19 chrome
1 S  1000   6281   5831  0  80   0 - 290634311 futex_ tty2 00:00:01 chrome
1 S  1000   6334   5831  0  80   0 - 290633593 futex_ tty2 00:01:33 chrome
1 S  1000   6378   5831  0  80   0 - 290630053 futex_ tty2 00:00:15 chrome
1 S  1000   6460   5831  0  80   0 - 292732226 futex_ tty2 00:00:42 chrome
1 S  1000   6473   5831  0  80   0 - 290633665 futex_ tty2 00:01:45 chrome
1 S  1000   6524   5831  0  80   0 - 290625370 futex_ tty2 00:00:02 chrome
1 S  1000   6594   5831  0  80   0 - 290624064 futex_ tty2 00:00:01 chrome
1 S  1000   6633   5831  0  80   0 - 290626286 futex_ tty2 00:00:06 chrome
1 S  1000   6656   5831  0  80   0 - 290625353 futex_ tty2 00:00:04 chrome
1 S  1000   6708   5831  0  80   0 - 290627492 futex_ tty2 00:00:10 chrome
1 S  1000   6734   5831  0  80   0 - 290627492 futex_ tty2 00:00:08 chrome
0 S  1000   9959   5809  0  80   0 - 4386002 futex_ tty2   00:02:52 chrome
1 S  1000  11534   5831  0  80   0 - 290630374 futex_ tty2 00:00:13 chrome
1 S  1000  11786   5831  0  80   0 - 290627776 futex_ tty2 00:00:12 chrome
1 S  1000  12113   5831  0  80   0 - 293795310 futex_ tty2 00:26:05 chrome
1 S  1000  12273   5831  0  80   0 - 290628424 futex_ tty2 00:00:16 chrome
0 S  1000  15600   3225  0  80   0 -  6336 wait   pts/3    00:00:00 bash
1 S  1000  16765   5831  0  80   0 - 290627153 futex_ tty2 00:00:10 chrome
1 S  1000  17127   5831  0  80   0 - 290628832 futex_ tty2 00:00:07 chrome
1 S  1000  17202   5831  0  80   0 - 290627896 futex_ tty2 00:00:12 chrome
1 S  1000  17284   5831  0  80   0 - 290630952 futex_ tty2 00:00:38 chrome
1 S  1000  17302   5831  0  80   0 - 290629442 futex_ tty2 00:00:10 chrome
1 S  1000  19914   5831  0  80   0 - 290650141 futex_ tty2 00:23:20 chrome
0 S  1000  20021   2649  0  80   0 - 50926 pipe_w ?        00:00:00 oosplash
0 S  1000  20072  20021  0  80   0 - 996692 poll_s ?       00:11:21 soffice.bin
1 S  1000  23973   5831  0  80   0 - 290628727 futex_ tty2 00:00:15 chrome
1 S  1000  24080   5831  0  80   0 - 290628426 futex_ tty2 00:00:25 chrome
1 S  1000  25414   5831  0  80   0 - 290637917 futex_ tty2 00:01:52 chrome
1 S  1000  26234   5831  0  80   0 - 290627818 futex_ tty2 00:00:02 chrome
1 S  1000  29057   5831  0  80   0 - 290630090 futex_ tty2 00:00:07 chrome
1 S  1000  29124   5831  0  80   0 - 290633956 futex_ tty2 00:02:24 chrome
1 S  1000  29138   5831  0  80   0 - 290624066 futex_ tty2 00:00:02 chrome
1 S  1000  29170   5831  0  80   0 - 290624066 futex_ tty2 00:00:03 chrome
1 S  1000  29422   5831  0  80   0 - 290633956 futex_ tty2 00:00:23 chrome
1 S  1000  30267   5831  0  80   0 - 290630089 futex_ tty2 00:00:05 chrome
1 S  1000  30406   5831  0  80   0 - 290627423 futex_ tty2 00:00:07 chrome
1 S  1000  30938   5831  0  80   0 - 290631177 futex_ tty2 00:00:02 chrome
1 S  1000  31738   5831  0  80   0 - 290632223 futex_ tty2 00:00:08 chrome
1 S  1000  31815   5831  0  80   0 - 290627006 futex_ tty2 00:00:38 chrome
1 S  1000  31829   5831  0  80   0 - 290624072 futex_ tty2 00:00:02 chrome
1 S  1000  31847   5831  0  80   0 - 290625326 futex_ tty2 00:00:08 chrome
1 S  1000  31868   5831  0  80   0 - 290626634 futex_ tty2 00:00:04 chrome
1 S  1000  31890   5831  0  80   0 - 290629096 futex_ tty2 00:00:22 chrome
